ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIO
3.9,6.0,17.6,377.0
5.2,8.0,19.6,386.0
5.9,8.0,20.8,423.0
3.9,6.0,18.3,393.0
5.2,8.0,20.0,393.0
5.2,8.0,20.0,393.0
5.9,8.0,21.5,416.0
5.2,8.0,20.8,353.0
5.2,8.0,21.8,444.0
5.9,8.0,21.8,423.0
8.0,10.0,21.4,396.0
8.0,10.0,21.4,396.0
3.6,8.0,24.6,474.0
3.6,8.0,24.1,472.0
5.5,12.0,26.7,513.0
5.5,12.0,26.3,495.0
5.5,12.0,26.7,513.0
5.5,12.0,26.3,495.0
5.5,12.0,30.2,582.0
2.0,4.0,11.1,219.0
2.5,6.0,13.1,260.0
2.5,6.0,13.3,260.0
4.6,8.0,15.1,299.0
4.2,6.0,19.1,393.0
4.6,8.0,18.8,382.0
5.4,8.0,19.9,403.0
4.2,6.0,19.0,389.0
4.6,8.0,17.8,359.0
5.4,8.0,17.9,363.0
4.2,6.0,19.1,391.0
5.4,8.0,20.2,403.0
2.0,4.0,10.6,216.0
2.0,4.0,10.6,216.0
4.6,8.0,17.8,359.0
5.4,8.0,20.2,403.0
4.6,8.0,19.3,391.0
5.4,8.0,21.1,426.0
4.0,6.0,14.9,304.0
5.0,8.0,18.4,368.0
4.0,6.0,16.4,336.0
5.0,8.0,18.7,373.0
4.0,6.0,17.1,357.0
4.0,6.0,17.3,352.0
4.0,6.0,16.5,336.0
4.0,6.0,16.7,343.0
4.2,6.0,16.7,340.0
4.2,6.0,16.3,334.0
4.6,8.0,17.0,345.0
4.6,8.0,17.8,354.0
5.4,8.0,17.9,363.0
4.2,6.0,17.3,359.0
4.2,6.0,18.0,373.0
4.6,8.0,18.5,380.0
4.6,8.0,18.8,380.0
5.4,8.0,20.7,423.0
2.0,4.0,10.8,221.0
2.0,4.0,10.8,216.0
2.0,4.0,10.6,219.0
2.0,4.0,10.9,216.0
4.6,8.0,15.0,297.0
3.8,6.0,13.4,267.0
3.8,6.0,13.6,267.0
4.6,8.0,15.1,301.0
4.6,8.0,15.4,304.0
4.6,8.0,15.7,308.0
3.0,6.0,15.7,315.0
3.0,6.0,16.2,322.0
4.0,6.0,17.0,354.0
4.0,6.0,14.9,306.0
3.0,6.0,16.4,336.0
3.0,6.0,15.5,320.0
4.0,6.0,17.3,357.0
4.0,6.0,16.5,340.0
3.0,6.0,13.6,267.0
3.0,6.0,13.5,265.0
3.0,6.0,14.2,278.0
3.0,6.0,14.0,276.0
3.0,6.0,15.6,311.0
3.8,6.0,14.9,304.0
3.0,6.0,15.6,311.0
3.8,6.0,15.5,311.0
4.3,6.0,17.7,368.0
4.3,6.0,18.5,384.0
4.8,8.0,16.3,334.0
4.8,8.0,18.9,373.0
5.3,8.0,16.7,343.0
4.8,8.0,18.7,391.0
5.3,8.0,18.9,391.0
5.3,8.0,18.9,391.0
5.3,8.0,17.9,373.0
6.0,8.0,21.4,435.0
4.3,6.0,17.8,368.0
5.0,8.0,18.2,373.0
5.7,8.0,19.1,396.0
4.3,6.0,18.3,380.0
5.0,8.0,18.3,377.0
5.7,8.0,20.6,426.0
4.3,6.0,16.2,336.0
4.3,6.0,16.3,327.0
4.3,6.0,17.0,350.0
4.3,6.0,18.7,386.0
4.3,6.0,17.0,350.0
4.3,6.0,18.7,386.0
4.8,8.0,17.3,366.0
4.8,8.0,20.2,407.0
5.3,8.0,18.0,377.0
4.8,8.0,18.7,391.0
5.3,8.0,18.9,391.0
5.7,8.0,21.2,430.0
4.3,6.0,16.2,336.0
4.3,6.0,17.0,350.0
4.3,6.0,17.7,368.0
4.3,6.0,17.4,359.0
2.2,4.0,13.8,278.0
2.2,4.0,12.2,246.0
4.3,6.0,15.4,313.0
4.3,6.0,16.2,322.0
4.3,6.0,16.8,345.0
4.3,6.0,16.3,329.0
3.0,6.0,13.0,260.0
2.3,4.0,12.2,246.0
2.3,4.0,11.5,235.0
2.3,4.0,11.8,237.0
2.3,4.0,10.8,221.0
1.6,4.0,10.5,216.0
1.6,4.0,9.8,205.0
1.6,4.0,10.9,223.0
1.6,4.0,10.0,202.0
1.6,4.0,8.8,184.0
2.0,4.0,12.5,267.0
2.0,4.0,12.5,267.0
1.0,3.0,4.9,104.0
3.5,6.0,14.9,292.0
2.2,4.0,12.7,260.0
2.2,4.0,12.0,251.0
2.0,4.0,13.1,269.0
1.5,4.0,10.5,209.0
1.5,4.0,9.7,198.0
2.0,4.0,12.2,242.0
2.0,4.0,11.3,223.0
2.0,4.0,12.5,248.0
2.0,4.0,11.4,228.0
2.4,4.0,13.0,260.0
2.5,6.0,13.2,262.0
2.0,4.0,12.2,244.0
2.0,4.0,11.4,228.0
2.0,4.0,11.6,235.0
2.0,4.0,11.4,230.0
3.0,6.0,13.4,265.0
3.3,6.0,17.7,366.0
2.2,4.0,13.8,278.0
2.2,4.0,12.2,246.0
4.3,6.0,15.4,313.0
4.3,6.0,16.8,345.0
3.2,6.0,16.6,340.0
3.2,6.0,16.8,347.0
